Date,Article,Price,Parking,Rooms,Meters,Floor,Sqmp
04-11-2020,88979515,1200,0,2,60.0,2,20.0
04-11-2020,88961189,1125,0,2,53.0,4,21.23
04-11-2020,88960668,975,0,2,49.0,2,19.9
04-11-2020,88856293,1100,0,3,85.0,0,12.94
04-11-2020,88713983,1100,0,3,75.0,9,14.67
04-11-2020,89143955,1000,0,2,70.0,1,14.29
04-11-2020,86142330,1150,0,2,65.0,2,17.69
04-11-2020,89133811,1069,0,3,83.0,3,12.88
04-11-2020,82567183,995,0,2,45.0,3,22.11
04-11-2020,89125449,1150,0,4,90.0,3,12.78
04-11-2020,84143169,1150,0,2,52.0,1,22.12
04-11-2020,89103823,1050,0,3,83.0,6,12.65
04-11-2020,88988497,990,1,2,85.0,4,11.65
04-11-2020,88952400,1100,0,3,70.0,2,15.71
04-11-2020,88910093,1100,0,3,75.0,8,14.67
04-11-2020,88885023,1200,0,3,72.0,14,16.67
04-11-2020,88884861,900,0,3,75.0,2,12.0
04-11-2020,88884798,900,0,2,65.0,1,13.85
04-11-2020,88850535,1100,0,3,70.0,2,15.71
04-11-2020,88816768,725,0,2,50.0,4,14.5
04-11-2020,88465634,1190,0,2,69.0,2,17.25
04-11-2020,87890837,1100,0,3,81.0,3,13.58
04-11-2020,89130601,900,0,2,65.0,1,13.85
04-11-2020,89112637,1158,0,2,70.0,3,16.54
04-11-2020,89099191,1150,0,2,70.0,0,16.43
04-11-2020,89095058,1100,0,3,85.0,3,12.94
04-11-2020,89094234,1100,0,3,85.0,2,12.94
04-11-2020,89080397,1200,0,3,71.0,0,16.9
04-11-2020,88884242,1083,1,2,60.0,5,18.05
04-11-2020,89026659,1050,0,2,66.0,2,15.91
04-11-2020,84321164,1200,0,2,90.0,1,13.33
04-11-2020,88801994,1200,0,3,75.0,7,16.0
04-11-2020,88777821,1200,0,2,65.0,6,18.46
04-11-2020,89070728,745,0,2,50.0,0,14.9
04-11-2020,89047115,840,0,3,76.0,0,11.05
04-11-2020,88873760,1050,0,3,63.0,5,16.67
04-11-2020,88727394,1030,0,4,52.0,1,19.81
04-11-2020,88599426,900,1,3,71.0,3,12.68
04-11-2020,38196903,775,0,2,40.0,5,19.38
04-11-2020,88492613,1200,0,3,75.0,7,16.0
04-11-2020,88458073,880,0,3,75.0,0,11.73
04-11-2020,86380451,1200,0,3,77.0,1,15.58
04-11-2020,83551190,1100,0,2,79.0,0,13.92
04-11-2020,89056093,975,0,2,78.0,0,12.5
04-11-2020,86313043,1120,0,2,76.0,1,14.74
